No.,問題文,選択肢A,選択肢B,選択肢C,選択肢D,正解,解説,分野
155,CI/CDパイプラインにおいて、ビルドされたコンテナイメージを安全に保存・管理し、そこからGKEなどにデプロイするためのリポジトリサービスは何ですか？,Cloud Source Repositories,Cloud Storage,Artifact Registry (旧 Container Registry),Cloud Build,C,Artifact Registryは、Dockerイメージだけでなく、Maven、npm、Pythonなどのパッケージ形式もサポートするユニバーサルなパッケージ管理サービスです。,【単元3：インフラストラクチャとアプリのモダナイゼーション】
156,Google Cloud上でWebサーバーやデータベースサーバーなどをまとめてデプロイし、設定や管理を一元化するためのサービスは何ですか？,Cloud Functions,Cloud Run,Managed Instance Groups (MIGs),App Engine,C,MIGsは、複数の同一なVMインスタンスを扱うためのマネージドサービスで、オートスケーリング、自動修復、ローリングアップデートなどを提供します。,【単元3：インフラストラクチャとアプリのモダナイゼーション】
157,アプリケーションを開発する際に、特定のクラウドベンダーのAPIやサービスに強く依存しないように設計し、将来的に他のクラウドやオンプレミスへの移行を容易にするアプローチを何と呼びますか？,ベンダーロックイン,ベンダー中立性 (Vendor Neutrality),ベンダー固有設計,モノリシック設計,B,KubernetesやHashiCorp Terraformなどのオープンソース技術を活用することで、クラウド間でポータビリティの高いアプリケーションを構築し、ベンダー中立性を高めることができます。,【単元3：インフラストラクチャとアプリのモダナイゼーション】
158,GKE (Google Kubernetes Engine) において、物理サーバーのCPUやメモリではなく、アプリケーションが要求するコンテナのリソース量に基づいて課金される「サーバーレスKubernetes」のオファリングは何ですか？,Standard GKE,Autopilot GKE,Google Compute Engine,Cloud Functions,B,GKE Autopilotは、ノードのプロビジョニング、管理、スケーリングをGoogleが完全に管理し、ユーザーはコンテナ（Pod）のリソース消費量に対してのみ課金されるため、運用コストと手間を大幅に削減できます。,【単元3：インフラストラクチャとアプリのモダナイゼーション】
159,オンプレミス環境とGoogle Cloudの間で、専用線を使用して安全かつ低遅延、高帯域幅の接続を実現するサービスは何ですか？,Cloud VPN,Cloud Interconnect (専用相互接続/パートナー相互接続),VPC Peering,Public Peering,B,Cloud Interconnectは、オンプレミスからGoogle Cloudへのトラフィックが多い場合や、より安定した接続が必要な場合にVPPNよりも適しています。,【単元3：インフラストラクチャとアプリのモダナイゼーション】
160,開発中のWebサービスの応答時間（レイテンシ）がなぜ遅いのか、どのコンポーネントがボトルネックになっているのかを視覚的に特定するための分散トレーシングツールは何ですか？,Cloud Logging,Cloud Monitoring,Cloud Trace,Cloud Audit Logs,C,Cloud Traceは、リクエストがシステム全体をどのように流れるかを追跡し、パフォーマンスのボトルネックを特定するのに役立ちます。,【単元3：インフラストラクチャとアプリのモダナイゼーション】
161,開発者がコンテナ化したアプリケーションをGoogle Cloudにデプロイする際、インフラの管理をGoogleに任せつつ、Kubernetesの柔軟性も享受したい場合に最適なサービスは何ですか？,Compute Engine (VM),Cloud Run (サーバーレス コンテナ),GKE Autopilot (マネージド Kubernetes),App Engine Standard (PaaS),C,GKE Autopilotは、Kubernetesクラスターのノード管理を完全にGoogleに任せ、コンテナ（Pod）のリソース使用量に基づいて課金されるため、運用負荷を大幅に軽減しつつKubernetesのメリットを享受できます。,【単元3：インフラストラクチャとアプリのモダナイゼーション】
162,複数のマイクロサービスで構成されるアプリケーションにおいて、サービスAがサービスBに非同期でメッセージを送信し、応答を待たずに処理を続行するパターンを実現するのに適したサービスは何ですか？,HTTP(S) Load Balancer,Cloud SQL,Pub/Sub,Cloud CDN,C,Pub/Subを介して非同期メッセージングを行うことで、サービス間の結合度を下げ、一方のサービスがダウンしても他方が影響を受けにくくなります（疎結合）。,【単元3：インフラストラクチャとアプリのモダナイゼーション】
163,既存のWebアプリケーションをGoogle Cloudに移行する際、プラットフォームとしての柔軟性（任意の言語やフレームワークをサポート）と、トラフィックに応じた自動スケーリングの両方を実現したい場合に最適なPaaS系のサービスは何ですか？,Compute Engine,Cloud Functions,App Engine Flexible Environment,Cloud Run,C,App Engine Flexible Environmentは、App Engine Standardよりも柔軟なカスタムランタイムやコンテナ利用をサポートし、自動スケーリング機能も備えています。Cloud Runも選択肢に入りますが、より軽量でイベント駆動型です。このケースでは「プラットフォームとして」という文言からApp Engine Flexibleがより適切です。,【単元3：インフラストラクチャとアプリのモダナイゼーション】
164,CI/CDパイプラインにおいて、ソースコードの変更をトリガーとして、自動的にビルド、テスト、コンテナイメージの構築、そしてGKEへのデプロイまでを一連のワークフローとして実行できるサービスは何ですか？,Cloud Source Repositories,Artifact Registry,Cloud Build,Cloud Monitoring,C,Cloud Buildは、CI/CDパイプライン全体をオーケストレーションするマネージドサービスであり、様々な言語やコンテナ技術に対応しています。,【単元3：インフラストラクチャとアプリのモダナイゼーション】
165,開発チームが、本番環境へのデプロイ前に、アプリケーションが実際に稼働する環境を忠実に再現した「ステージング環境」を迅速に構築・破棄する際に活用できる技術や手法は何ですか？,手動でハードウェアを設置する,Infrastructure as Code (IaC) とコンテナ技術,すべてのテストを本番環境で実行する,文書による仕様書のみで環境を構築する,B,IaC（Terraformなど）とコンテナ（Docker/Kubernetes）を組み合わせることで、開発・テスト・本番で一貫した環境を自動的かつ迅速に準備できます。,【単元3：インフラストラクチャとアプリのモダナイゼーション】
166,Google Cloudで稼働する、複数のVMインスタンス（Compute Engine）のグループに対して、単一のグローバルIPアドレスを付与し、ヘルスチェックに基づいてトラフィックを自動的に分散するサービスは何ですか？,Cloud DNS,Cloud VPN,Cloud Load Balancing,Cloud CDN,C,Cloud Load Balancingは、トラフィックを適切に分散させ、サービスの可用性と性能を向上させます。ヘルスチェックによって異常なインスタンスへのルーティングを停止します。,【単元3：インフラストラクチャとアプリのモダナイゼーション】
167,レガシーなモノリシックアプリケーションを、リファクタリングにより複数の小さなマイクロサービスに分割する主なメリットは何ですか？,開発チームの規模を大幅に縮小できる,各サービスを独立して開発・デプロイ・スケールでき、開発の俊敏性とシステムの耐障害性が向上する,すべてのサービスを単一のプログラミング言語で記述する必要がある,データベースが一つの巨大なデータストアに集約される,B,マイクロサービス化は、開発の並行化、技術選択の自由度、障害の影響範囲の限定、個別のスケーリングといった多くのメリットをもたらします。,【単元3：インフラストラクチャとアプリのモダナイゼーション】
168,クライアントからのすべてのリクエストをバックエンドのアプリケーションインスタンス群に「均等に」分散させるロードバランシングアルゴリズムはどれですか？,少接続数 (Least Connections),加重ラウンドロビン (Weighted Round Robin),ラウンドロビン (Round Robin),最低応答時間 (Least Response Time),C,ラウンドロビンは、リストの先頭から順にリクエストを割り当て、リストの最後まで行くと先頭に戻る単純な分散アルゴリズムです。,【単元3：インフラストラクチャとアプリのモダナイゼーション】
169,プロジェクトAで作成されたCompute Engineインスタンスを、プロジェクトBのVPCネットワークに接続したい場合、最も効率的かつ安全な方法は何ですか？,プロジェクトBのVPCをインターネット経由で公開する,Shared VPC（共有VPC）を設定し、プロジェクトAがプロジェクトBのVPCを利用できるようにする,各プロジェクトに個別のVPNコネクションを確立する,別のクラウドプロバイダーを利用する,B,Shared VPCは、中央のホストプロジェクトのVPCを複数のサービスプロジェクトで共有できるため、ネットワークの複雑性を軽減し、管理コストを最適化します。,【単元3：インフラストラクチャとアプリのモダナイゼーション】
170,信頼性の高いWebフロントエンドをGoogle Cloud上に構築する際、可用性とスケーラビリティを確保するために推奨されるアーキテクチャパターンは何ですか？,単一のCompute Engine インスタンスで全ての負荷を処理する,リージョン内の単一ゾーンにロードバランサと複数のWebサーバーインスタンスを配置する,グローバルロードバランサの背後に、複数のリージョンおよびゾーンに分散されたManaged Instance Group (MIG) を配置する,すべてのトラフィックをCloud Functionsで処理する,C,グローバルロードバランサと、リージョン・ゾーンに跨って冗長化されたMIGの組み合わせは、最高の可用性と自動スケーリングを提供し、地理的に分散したユーザーに低遅延でサービスを届けます。,【単元3：インフラストラクチャとアプリのモダナイゼーション】
171,企業がオンプレミスからクラウドへアプリケーションを移行する際、セキュリティチームが最初に評価すべき項目は何ですか？,アプリケーションのUIデザイン,移行後のアプリケーションが満たすべきセキュリティ要件とコンプライアンス要件、および責任分担モデルにおける役割,アプリケーションの使用言語,開発者の出身地,B,移行後のセキュリティ要件とコンプライアンス、そして責任共有モデルにおける自社の責任範囲を明確にすることは、クラウドセキュリティ戦略の出発点です。,【単元3：インフラストラクチャとアプリのモダナイゼーション】
172,クラウドネイティブな開発において、開発者がローカル環境で本番に近い状態でアプリケーションをテストするために活用できる技術は何ですか？,SSH接続を禁止する,コンテナ（Docker）とKubernetesのローカル環境（ミニキューブなど）,古い仮想マシンイメージを使用する,ネットワーク接続を遮断する,B,コンテナは動作環境をパッケージ化するため、開発者のローカル環境で実行されるコンテナと、クラウドの本番環境で実行されるコンテナは同じ挙動を示し、開発の効率と一貫性を高めます。,【単元3：インフラストラクチャとアプリのモダナイゼーション】
173,Google Cloudの「Cloud Run」は、どのような種類のワークロードに最も適していますか？,複数年にわたる継続的な重いバッチ処理,仮想マシンのOSに依存するレガシーアプリケーション,Webリクエストやイベントによってトリガーされる、ステートレスでコンテナ化されたマイクロサービス,物理ハードウェアに直接アクセスが必要なワークロード,C,Cloud Runは、自動スケーリング（ゼロスケール含む）とフルマネージドコンテナの利点を兼ね備え、APIサービス、マイクロサービス、イベント処理などに最適です。,【単元3：インフラストラクチャとアプリのモダナイゼーション】
174,複数のCloud Functionsが連携して一つのビジネスロジックを実行するシステムを設計する際、これらの関数間でデータを安全かつ非同期に受け渡すために推奨されるサービスは何ですか？,Cloud Storage,Cloud SQL,Pub/Sub,Compute Engine,C,Pub/Subは、イベントを発生源から複数の消費者（Cloud Functionsなど）に非同期に配信するための信頼性の高いミドルウェアです。直接Cloud Storageにデータを置いてトリガーすることも可能ですが、メッセージングとしてはPub/Subが最適です。,【単元3：インフラストラクチャとアプリのモダナイゼーション】
175,企業のIT部門が、アプリケーションをPaaSサービス（例：App Engine）に移行することで得られる、インフラ管理に関する最大のメリットは何ですか？,OSの選択肢が大幅に増える,OSのパッチ適用、スケーリング、ロードバランシングなどのインフラ管理タスクがクラウドプロバイダーにオフロードされる,物理サーバーのCPUを直接制御できる,任意のネットワークハードウェアを設置できる,B,PaaSは、開発者がインフラ管理から解放され、アプリケーションのコード開発に専念できるように設計されています。,【単元3：インフラストラクチャとアプリのモダナイゼーション】
176,アプリケーションのデプロイ戦略として、「カナリアリリース」を採用する主な目的は何ですか？,すべてのユーザーに同時に新バージョンをリリースし、最大の影響を与えるため,少数のユーザー群に新バージョンを事前にリリースし、検証することで、本番環境全体でのリスクを最小限に抑えつつ、安全に新機能を展開するため,古いバージョンを削除し、新しいバージョンを上書きするため,アプリケーションのデプロイを完全に手動で行うため,B,カナリアリリースは、段階的なリリース戦略の一つで、リスクを抑えながら新機能のパフォーマンスや安定性を本番環境に近い状態で評価することを可能にします。,【単元3：インフラストラクチャとアプリのモダナイゼーション】
177,Google Cloudのグローバルネットワークを介して、世界中のユーザーに低遅延で静的なコンテンツ（画像、動画、CSSなど）を配信するために利用できるサービスは何ですか？,Cloud VPN,Cloud Interconnect,Cloud CDN (Content Delivery Network),Cloud Load Balancing,C,Cloud CDNは、Googleの広範なエッジロケーションを利用してコンテンツをキャッシュし、ユーザーに地理的に近い場所から配信することで高速なコンテンツ配信を実現します。,【単元3：インフラストラクチャとアプリのモダナイゼーション】
178,企業の開発者が「Anthos」を活用して得られる主要なメリットは何ですか？,オンプレミス、Google Cloud、他社クラウド間で、一貫したKubernetes管理と運用を実現できる,特定のクラウドプロバイダーのみに依存するようになる,物理サーバーを直接管理する必要がなくなる,サーバーレスアプリケーションの開発に特化できる,A,Anthosは、Kubernetesをベースに、ハイブリッドクラウドおよびマルチクラウド環境全体でアプリケーションをデプロイ、管理、拡張できるプラットフォームです。,【単元3：インフラストラクチャとアプリのモダナイゼーション】
179,データベースのパフォーマンスを監視する際、アプリケーションからの「クエリ速度（実行時間）」が遅延していることがボトルネックになっていると判断した場合、どのような最適化を検討すべきですか？,データベースのストレージ容量を増やす,データベースクエリのインデックス最適化や、非効率なSQL文の修正,データベースのリージョンを変更する,データベースのバックアップ頻度を増やす,B,クエリ速度の遅延は、多くの場合、適切なインデックスがない、またはSQLクエリ自体が最適化されていないことが原因です。,【単元3：インフラストラクチャとアプリのモダナイゼーション】
180,大量のリモートセンサーデータを受信し、それを短時間で処理して分析基盤に流し込む「ストリーミングデータパイプライン」を構築する際に、各コンポーネントが障害を起こしても全体が停止しないように設計する概念は何ですか？,スケールアウト,フォールトトレランス (耐障害性),サービスディスカバリ,ベンダーロックイン,B,フォールトトレランスは、システムの特定のコンポーネントに障害が発生しても、システム全体が機能し続けるような設計を指します。クラウドでは複数のゾーンやリージョンに分散配置することで実現します。,【単元3：インフラストラクチャとアプリのモダナイゼーション】
181,セキュリティの責任を「クラウド事業者（Google）」と「顧客」の両者で分担するという考え方を何と呼びますか？,ゼロトラストモデル,責任共有モデル,最小権限モデル,多層防御モデル,B,"クラウドの利用形態（IaaS, PaaS, SaaS）に応じて、Googleと顧客が管理・保護すべきセキュリティの責任範囲を分担するモデルです。",【単元4：Google Cloudで実現する信頼とセキュリティ】
182,「誰が（ID）」「どのリソースに対して」「何を実行できるか（権限）」を一元的に管理するシステムは何ですか？,Cloud DLP,Cloud Armor,IAM (Identity and Access Management),VPC,C,IAMは、Google Cloudの各リソースに対するアクセス制御をきめ細かく設定・管理するための基盤となるサービスです。,【単元4：Google Cloudで実現する信頼とセキュリティ】
183,セキュリティ設定において、ユーザーが必要とする最小限のアクセス権限のみを付与する原則を何と呼びますか？,職務分掌の原則,最小権限の原則,ゼロトラストの原則,コンプライアンスの原則,B,万が一アカウントが侵害された際の被害を最小限に抑えるため、業務に不要な権限は与えないというセキュリティの基本原則です。,【単元4：Google Cloudで実現する信頼とセキュリティ】
184,社内ネットワークだから安全だと過信せず、すべてのアクセス要求を検証し、認証と認可を厳格に行うセキュリティモデルは何ですか？,境界防御セキュリティ,ゼロトラストセキュリティ,責任共有セキュリティ,エンドポイントセキュリティ,B,「何も信頼しない（Zero Trust）」という前提に立ち、ネットワークの場所に関わらず、すべてのアクセスを検証するアプローチです。,【単元4：Google Cloudで実現する信頼とセキュリティ】
185,悪意のあるトラフィックやDDoS攻撃からWebアプリケーションを保護する、Google Cloudのセキュリティサービスは何ですか？,Cloud Armor,Cloud DLP,Security Command Center,Cloud Identity,A,Cloud Armorは、DDoS対策およびWAF（Web Application Firewall）として機能し、Webサービスを攻撃から保護します。,【単元4：Google Cloudで実現する信頼とセキュリティ】
186,顧客の機密データ（クレジットカード番号や個人情報など）を自動的に検出し、マスキング等の保護処理を行うサービスは何ですか？,Cloud KMS,Cloud DLP,Secret Manager,Cloud Armor,B,Cloud DLP (Data Loss Prevention / 敏感なデータの保護) は、機密データを検出し、匿名化やマスキングを行うことでデータ漏洩を防ぎます。,【単元4：Google Cloudで実現する信頼とセキュリティ】
187,ISOやSOC、PCI DSSなど、Google Cloudが第三者機関から取得しているセキュリティ認証や監査レポートを確認できるポータルは何ですか？,セキュリティ コマンド センター,請求先アカウント,コンプライアンス レポート マネージャー,アーキテクチャ センター,C,コンプライアンス レポート マネージャーを利用することで、顧客は社内や監査人向けのコンプライアンス関連ドキュメントをオンデマンドで取得できます。,【単元4：Google Cloudで実現する信頼とセキュリティ】
188,Google Cloud上でリソースを論理的に分離し、仮想的なネットワーク空間を構築するための基盤サービスは何ですか？,Cloud DNS,Cloud CDN,Cloud Load Balancing,VPC (Virtual Private Cloud),D,VPCは、Google Cloud環境内にプライベートなネットワーク空間を構築し、セキュアな通信基盤を提供するサービスです。,【単元4：Google Cloudで実現する信頼とセキュリティ】
189,Google Cloud上のデータは、デフォルトでどのようにセキュリティ保護されていますか？,顧客が暗号化キーを設定するまで暗号化されない,保存時も転送時も、デフォルトで暗号化される,転送時のみ暗号化される,プレミアムサポート契約時のみ暗号化される,B,Google Cloudでは、ユーザーが何も設定しなくても、保存時（データアットレスト）および転送時（データイントランジット）のデータは強力に暗号化されます。,【単元4：Google Cloudで実現する信頼とセキュリティ】
190,従業員のアカウント管理において、パスワードだけでなくスマートフォン等を用いた複数の要素で本人確認を行う仕組みを何と呼びますか？,シングルサインオン (SSO),フェデレーション認証,多要素認証 (MFA / 2段階プロセス),生体認証,C,パスワード（知識情報）に加え、スマホへの通知やセキュリティキー（所持情報）などを組み合わせることで、アカウントの乗っ取りを強力に防ぎます。,【単元4：Google Cloudで実現する信頼とセキュリティ】
191,社外から社内システムにアクセスする際、VPNを使わずに、ユーザーのIDやデバイスのセキュリティ状態などの「コンテキスト（状況）」に基づいてアクセス制御を行うGoogle Cloudのサービスは何ですか？,Cloud VPN,Identity-Aware Proxy (IAP),Cloud Interconnect,Cloud NAT,B,IAPはゼロトラストモデル（BeyondCorp）を実現するコアコンポーネントであり、VPNなしで安全なリモートアクセスを提供します。,【単元4：Google Cloudで実現する信頼とセキュリティ】
192,Google Cloud上のデータはデフォルトで暗号化されますが、企業のコンプライアンス要件により、「暗号化キー自体も顧客自身で作成・管理したい」場合に利用するサービスは何ですか？,Cloud Identity,Secret Manager,Cloud Key Management Service (Cloud KMS),IAM,C,Cloud KMSを利用することで、顧客管理の暗号鍵（CMEK）を一元的に生成、使用、ローテーション、破棄することができます。,【単元4：Google Cloudで実現する信頼とセキュリティ】
193,Googleのサーバーやインフラ機器のハードウェアレベルでのセキュリティを担保するために、Googleが独自に設計・搭載している専用のセキュリティチップは何ですか？,BeyondCorp,Titan チップ,Shielded VM,Cloud Armor,B,Titanチップは、サーバーの起動時にハードウェアやファームウェアが改ざんされていないかを検証（セキュアブート）する目的で搭載されています。,【単元4：Google Cloudで実現する信頼とセキュリティ】
194,攻撃者が正当なサービスや企業を装ってメールなどを送り、ユーザーのパスワードや機密情報を騙し取るサイバー攻撃の手法は何ですか？,DDoS攻撃,ランサムウェア,フィッシング (Phishing),SQLインジェクション,C,Googleでは、このフィッシング攻撃を根本から防ぐために、物理的な「Titanセキュリティキー」を用いた強力な多要素認証（MFA）を推奨しています。,【単元4：Google Cloudで実現する信頼とセキュリティ】
195,Google Cloudのリソース階層において、企業全体の請求、ポリシー、アクセス権限を最上位で一元管理するためのノード（階層）は何ですか？,組織 (Organization),フォルダ (Folder),プロジェクト (Project),リソース (Resource),A,リソース階層は「組織 ＞ フォルダ ＞ プロジェクト ＞ リソース」の順序です。組織ノードで設定したセキュリティポリシーは、下位のすべてに継承されます。,【単元4：Google Cloudで実現する信頼とセキュリティ】
196,クラウドにおけるコンプライアンス（法令順守）の観点で正しい説明はどれですか？,クラウドを利用すれば、顧客のコンプライアンス責任はすべてGoogleに移行する,Google Cloudは各種セキュリティ認証を取得しているが、その上で自社のデータを安全に設定・運用する責任は顧客にある,コンプライアンスの遵守は、クラウドプロバイダーではなくネットワークプロバイダーの責任である,パブリッククラウドではいかなる業界規制（医療、金融など）も満たすことができない,B,責任共有モデルに基づき、Googleはインフラのコンプライアンスを保証しますが、その上のデータやアクセス権の管理・遵守は顧客（ユーザー）の責任です。,【単元4：Google Cloudで実現する信頼とセキュリティ】
197,「誰が、どこで、いつ、何をしたか」というGoogle Cloud環境内のすべての管理アクティビティやデータアクセス履歴を記録し、監査対応に利用するサービスは何ですか？,Cloud Build,Cloud Audit Logs,Error Reporting,Cloud Trace,B,Cloud Audit Logs（監査ログ）は、悪意のある操作の特定や、セキュリティ監査のための証跡として不可欠なサービスです。,【単元4：Google Cloudで実現する信頼とセキュリティ】
198,データベースのパスワードやAPIキーなどの機密情報をソースコードに直接書き込まず、一元的に暗号化して安全に保存・管理するためのサービスは何ですか？,Cloud Storage,IAM,Secret Manager,Cloud DLP,C,Secret Managerを使用することで、機密情報（シークレット）へのアクセスを制御し、バージョン管理や監査を一元化できます。,【単元4：Google Cloudで実現する信頼とセキュリティ】
199,ユーザーの代わりにアプリケーションや仮想マシン（VM）が他のGoogle Cloudサービスにアクセスする際、認証に使用される特別なアカウントを何と呼びますか？,Google Workspace アカウント,コンシューマー アカウント,サービス アカウント,ゲスト アカウント,C,人間ではなく「システムやアプリケーション」に権限を付与するためのアカウントが「サービスアカウント」です。,【単元4：Google Cloudで実現する信頼とセキュリティ】
200,データ主権（データ・ソブリンティ）やコンプライアンスの要件を満たすため、顧客データを特定の国や地域から出さないように制限する設定を何と呼びますか？,データのサイロ化,データ レジデンシー（データ リージョン）要件,データ レプリケーション,ゼロトラスト,B,ヨーロッパのGDPRなど、特定のデータをその国内・地域内（リージョン）に留めておかなければならない要件に対応するため、Google Cloudでは保存場所を顧客が指定できます。,【単元4：Google Cloudで実現する信頼とセキュリティ】
201,IAM（Identity and Access Management）において、100人の新入社員に特定のプロジェクトへの閲覧権限を付与する際、管理の手間とミスを減らすためのベストプラクティスはどれですか？,100人それぞれのユーザーアカウントに対して個別に権限を付与する,100人に同じパスワードを共有し、1つの管理者アカウントを使わせる,「Googleグループ」を作成して100人を追加し、そのグループに対して1回だけ閲覧権限を付与する,プロジェクトの権限を「インターネット上の全ユーザー」に公開する,C,IAMのベストプラクティスでは、個人に直接権限を付与するのではなく、役割ごとの「グループ」を作成し、グループに対して権限を付与（管理）することが強く推奨されています。,【単元4：Google Cloudで実現する信頼とセキュリティ】
202,ゼロトラストセキュリティモデル（BeyondCorp）において、システムへのアクセスを許可するかどうかを判定する「主な基準」は何ですか？,ユーザーが社内の物理的なオフィスビルにいるかどうか,ユーザーが社内ネットワーク（VPN）に接続しているかどうか,ユーザーの確実な身元（ID）と、使用しているデバイスのセキュリティ状態（コンテキスト）,ユーザーの役職がマネージャー以上かどうか,C,ゼロトラストでは「社内ネットワーク＝安全」という境界型の考え方を捨て、アクセス元の場所に関わらず「誰が、どの端末で（OSは最新か等）」アクセスしてきたかを動的に検証します。,【単元4：Google Cloudで実現する信頼とセキュリティ】
203,Google Cloud環境における「保存データの暗号化（Data at rest encryption）」に関する正しい説明はどれですか？,顧客がオプション機能を購入し、明示的にオンにしない限り暗号化されない,Google Cloudに書き込まれるすべてのデータは、デフォルトで（自動的に）暗号化される,データベースに保存されたデータのみ暗号化され、Cloud Storageのファイルは暗号化されない,平文（暗号化されていない状態）で保存する方がセキュリティレベルが高い,B,Google Cloudでは、特別な設定を行わなくても、ストレージやデータベースに保存されるデータは自動的に最高レベルの技術で暗号化されます。,【単元4：Google Cloudで実現する信頼とセキュリティ】
204,Google Cloudの「Cloud DLP (データ損失防止)」サービスが実行できる具体的なタスクの例はどれですか？,DDoos攻撃のトラフィックを自動的に遮断する,チャットやテキストファイル内の「クレジットカード番号」や「マイナンバー」を検出し、自動で「***」に置き換える（マスキング）,仮想マシンに最新のセキュリティパッチを適用する,従業員のパスワードを複雑なものに変更させる,B,Cloud DLPは、機密情報（PII：個人を特定できる情報など）をスキャン・分類・難読化し、データの安全な活用とコンプライアンス遵守を支援します。,【単元4：Google Cloudで実現する信頼とセキュリティ】
205,自然災害やシステムの大規模障害が発生した際に、ビジネスを継続するため、別の地域（リージョン）にシステムを復旧させるための計画・戦略を何と呼びますか？,ディザスタ リカバリ (DR / 災害復旧),継続的インテグレーション (CI),データ レジデンシー,負荷分散 (ロードバランシング),A,DR（Disaster Recovery）計画は、致命的な障害時にデータを保護し、システムのダウンタイム（RTO）とデータ損失（RPO）を最小限に抑えるための重要なセキュリティ・運用戦略です。,【単元4：Google Cloudで実現する信頼とセキュリティ】
206,Google Cloud環境全体をスキャンし、ファイアウォールの設定ミス、公開されすぎているストレージバケット、マルウェアの感染などの「脆弱性や脅威」をダッシュボードで一元的に可視化するセキュリティサービスは何ですか？,Cloud Audit Logs,Security Command Center (SCC),IAM,Cloud Key Management Service (KMS),B,Security Command Centerは、Google Cloud環境のセキュリティとリスクを包括的に管理・監視するための強力なプラットフォームです。,【単元4：Google Cloudで実現する信頼とセキュリティ】
207,パスワードの漏洩による不正アクセスを防ぐために最も効果的で、Googleが全従業員に義務付けている認証方式は何ですか？,パスワードを30文字以上に設定する,パスワードを毎月変更する,セキュリティキーを用いた「フィッシング耐性のある」多要素認証（MFA / 2段階プロセス）,パスワードを紙に書いて金庫に保管する,C,パスワードだけではフィッシング攻撃等で突破されるため、物理的なセキュリティキー（Titanセキュリティキーなど）を用いた多要素認証が最も確実な防御策とされています。,【単元4：Google Cloudで実現する信頼とセキュリティ】
208,SaaS（例：Google Workspace）を利用する場合、「責任共有モデル」において顧客（ユーザー企業）が引き続き管理責任を負うのはどの部分ですか？,データセンターの物理的な警備,ネットワークルーターの保守,サーバーのOSパッチ適用,アカウントのアクセス権限（誰にライセンスを付与するか）と保存されるデータそのもの,D,SaaS環境ではインフラやアプリの管理はすべてGoogleが行いますが、「誰をシステムに入れるか（IAM）」と「どんなデータを置くか」は常に顧客の責任です。,【単元4：Google Cloudで実現する信頼とセキュリティ】
209,企業がGoogle Cloud上に構築したシステムを、インターネットから完全に隔離された安全なプライベートネットワーク空間に配置するために作成するリソースは何ですか？,Cloud CDN,VPC (Virtual Private Cloud),Cloud DNS,Cloud Load Balancing,B,VPCはクラウド上に論理的に分離された独自のネットワーク空間（サブネットやファイアウォールなど）を提供する基盤です。,【単元4：Google Cloudで実現する信頼とセキュリティ】
210,Google Cloudが取得している「SOC 2」や「ISO 27001」などのコンプライアンス認証は、顧客にとって何を意味しますか？,顧客は自身のシステムに対するセキュリティ対策を一切行う必要がなくなる,独立した第三者機関の監査によって、Google Cloudのインフラや運用プロセスが厳格なセキュリティ基準を満たしていることが証明されている,クラウドの利用料金が無料になる,顧客のシステムは絶対にダウンしないことが法的に保証される,B,これらの認証は、Googleがグローバルなセキュリティ標準やベストプラクティスに準拠していることを示す客観的な証明であり、監査対応などの際に役立ちます。,【単元4：Google Cloudで実現する信頼とセキュリティ】
211,IAMでユーザーに権限を付与する際、「編集者（Editor）」のような広範囲な事前定義ロールではなく、必要最小限の権限のみを含むロールを定義・付与するべき理由は何ですか？,コストを削減するため,セキュリティの脆弱性を最小限に抑え、不正アクセスの被害範囲を限定するため,ドキュメントの管理を簡素化するため,アプリケーションのパフォーマンスを向上させるため,B,最小権限の原則（Principle of Least Privilege）は、IAMの最も重要なセキュリティベストプラクティスの一つです。万一アカウントが侵害されても、被害が限定的になります。,【単元4：Google Cloudで実現する信頼とセキュリティ】
212,機密性の高いデータに対するアクセスが特定のネットワーク境界内（VPC内）に留まるように設定し、データ漏洩のリスクを軽減するセキュリティ機能は何ですか？,Cloud Armor,VPC Service Controls,Cloud DLP,Cloud Identity,B,VPC Service Controlsは、承認されていないネットワークからGoogle Cloudサービスのデータへのアクセスをブロックすることで、データ侵害のリスクを大幅に低減します。,【単元4：Google Cloudで実現する信頼とセキュリティ】
213,Google Cloudが提供するセキュリティサービスで、ユーザーのID情報（メールアドレス、パスワード）に加えて、デバイス（PC、スマホ）のOSバージョンやパッチ適用状況、位置情報などの「コンテキスト」に基づいてアクセス制御を行えるのはどれですか？,Identity-Aware Proxy (IAP),Cloud Identity,Cloud KMS,Access Context Manager (IAPと連携),D,Access Context Manager（アクセスコンテキストマネージャー）は、BeyondCorp Enterpriseの一部で、アクセスレベルを詳細に定義し、IAPと連携してコンテキストに応じたセキュリティポリシーを適用します。,【単元4：Google Cloudで実現する信頼とセキュリティ】
214,企業の従業員がGoogle Cloudサービスにアクセスする際の認証と認可を一元的に管理し、シングルサインオン (SSO) を実現するためのサービスは何ですか？,Cloud Identity,IAM,Cloud VPN,Cloud Armor,A,Cloud Identityは、Google Workspaceのユーザー管理機能と同様に、GCPを含むGoogleのサービス全体のIDを管理し、SSOや多要素認証を提供します。,【単元4：Google Cloudで実現する信頼とセキュリティ】
