No.,問題文,選択肢A,選択肢B,選択肢C,選択肢D,正解,解説,分野
128,ワーカー ノードに外部 IP を持たせず、API サーバーへもプライベート エンドポイントのみでアクセスする GKE クラスタをデプロイしたい場合、選ぶべきクラスタ タイプはどれですか？,パブリック クラスタ,限定公開クラスタ（Private cluster）,Cloud Functions,App Engine 標準環境,B,限定公開クラスタ（Private cluster）では、ノードに外部 IP を付与せず、マスター（コントロール プレーン）もプライベート エンドポイントでアクセス可能にできます。`kubectl` 操作には VPN、Cloud Interconnect、または認証済みネットワーク経由のアクセスが必要です。,【クラウド ソリューションのデプロイと実装】
129,ノード管理を Google に任せ、Pod をデプロイするだけでよい GKE クラスタを作成する場合、選ぶべきモードはどれですか？,GKE Standard,GKE Autopilot,Compute Engine の単一 VM,Cloud Scheduler,B,GKE Autopilot モードでは、Google がノードのプロビジョニング、スケーリング、セキュリティを管理します。`kubectl apply` で Pod/Deployment をデプロイするだけで、リソース要件に応じてノードが自動調整されます。,【クラウド ソリューションのデプロイと実装】
130,コンテナ イメージを Cloud Run サービスとしてデプロイする Cloud CLI コマンドとして正しいものはどれですか？,`gcloud run deploy SERVICE_NAME --image=IMAGE_URL --region=REGION`,`gcloud compute instances create SERVICE_NAME --image=IMAGE_URL`,`gcloud functions deploy SERVICE_NAME --image=IMAGE_URL --trigger-http`,`gcloud sql instances create SERVICE_NAME`,A,Cloud Run へのデプロイは `gcloud run deploy` コマンドで行います。`--image` に Artifact Registry 等のコンテナ イメージ URI、`--region` にデプロイ リージョンを指定します。ソースからの直接デプロイ（`--source`）も可能です。,【クラウド ソリューションのデプロイと実装】
131,Pub/Sub トピックへのメッセージ発行をトリガーに Cloud Functions（第 2 世代）をデプロイする場合、指定すべきトリガー オプションはどれですか？,`--trigger-topic=TOPIC_NAME`,`--trigger-bucket=BUCKET_NAME` のみ,`--trigger-http` のみ,`--trigger-schedule` のみ,A,Cloud Functions の Pub/Sub トリガーは `--trigger-topic` で指定します。Cloud Storage オブジェクト変更は `--trigger-bucket` または Eventarc、HTTP 直接呼び出しは `--trigger-http`、定期実行は Cloud Scheduler 連携を使います。,【クラウド ソリューションのデプロイと実装】
132,Cloud Storage バケットへのオブジェクト作成イベントを Eventarc 経由で Cloud Run サービスにルーティングする場合、主に設定するものはどれですか？,Eventarc トリガー（イベントソース: Cloud Storage、宛先: Cloud Run）,Cloud NAT ルール,Cloud Armor セキュリティ ポリシー,Persistent Disk スナップショット スケジュール,A,Eventarc トリガーで、Cloud Storage の `google.cloud.storage.object.v1.finalized` などのイベントを Cloud Run サービスにルーティングします。イベント フィルタ（バケット名など）と宛先サービスを指定してデプロイします。,【クラウド ソリューションのデプロイと実装】
133,ローカルの CSV ファイルを BigQuery テーブルにアップロードする最も直接的な方法はどれですか？,Cloud Console の BigQuery UI からファイルをアップロードする、または `bq load` コマンドを使用する,Cloud DNS に CSV レコードを追加する,Cloud VPN トンネルを作成する,Cloud Armor ルールを設定する,A,BigQuery へのデータ取り込みは、Cloud Console の「ファイルからアップロード」、`bq load` CLI、または Cloud Storage 経由のロードジョブで行います。大規模データは Cloud Storage に配置してから BigQuery ロードジョブを実行するのが一般的です。,【クラウド ソリューションのデプロイと実装】
134,Cloud Storage バケット内の大量ファイルを BigQuery テーブルに読み込む場合、推奨されるデータ取り込みパターンはどれですか？,各ファイルを 1 行ずつ Cloud SQL に INSERT する,Cloud Storage にファイルを配置し、BigQuery ロード ジョブ（`bq load` または API）で読み込む,Cloud DNS ゾーン転送で転送する,Cloud NAT で SNAT する,B,大規模データの BigQuery 取り込みは、Cloud Storage をステージング領域とし、ロード ジョブで一括読み込みするパターンが標準です。`gsutil cp` や Storage Transfer Service でバケットに配置後、`bq load gs://bucket/file.csv` 等で実行します。,【クラウド ソリューションのデプロイと実装】
135,Cloud SQL for MySQL インスタンスを新規作成する Cloud CLI コマンドとして正しいものはどれですか？,`gcloud sql instances create INSTANCE_NAME --database-version=MYSQL_8_0 --region=REGION`,`gcloud compute instances create INSTANCE_NAME --database-version=MYSQL`,`gcloud firestore databases create --region=REGION`,`gcloud bigquery tables create INSTANCE_NAME`,A,Cloud SQL インスタンスの作成は `gcloud sql instances create` コマンドです。`--database-version` で MySQL/PostgreSQL/SQL Server バージョン、`--region` でリージョンを指定します。作成後にデータベース、ユーザー、接続設定を追加します。,【クラウド ソリューションのデプロイと実装】
136,カスタム サブネットの IP レンジを自分で設計した VPC を新規作成する場合、選ぶべき VPC モードはどれですか？,自動モード VPC,カスタムモード VPC,デフォルト VPC のみ使用,Cloud CDN モード,B,カスタムモード VPC では、サブネットの IP レンジとリージョンを自分で定義します。自動モード VPC は各リージョンに自動生成されたサブネットが付与されます。本番環境では IP 設計を制御できるカスタムモードが推奨されます。,【クラウド ソリューションのデプロイと実装】
137,VPC 内の VM インスタンスに、特定 TCP ポート 8080 へのインバウンド通信のみを許可するファイアウォール ルールを作成する際、ターゲットの指定方法として正しいものはどれですか？,ネットワーク タグ（target tags）またはサービス アカウントを VM に設定し、ルールのターゲットに指定する,Cloud Billing の予算 ID を指定する,BigQuery データセット名を指定する,Cloud DNS ゾーン名のみを指定する,A,VPC ファイアウォール ルールは、ターゲットとしてネットワーク タグ（target tags）またはサービス アカウントを指定して、適用する VM を絞り込みます。方向（ingress/egress）、優先度、ソース/宛先 IP 範囲、プロトコル/ポートを設定します。,【クラウド ソリューションのデプロイと実装】
138,2 つの独立した VPC ネットワーク間で、プライベート IP レンジをルーティングして接続したい（VPN 不要）。同一組織内の VPC 同士を接続する方法はどれですか？,VPC ネットワーク ピアリング,Cloud CDN,Cloud Storage ライフサイクル,Cloud Scheduler,A,VPC ネットワーク ピアリングは、2 つの VPC 間でプライベート RFC 1918 IP を直接ルーティングします。トランジティブ（推移的）ピアリングはサポートされないため、設計時にトポロジを考慮します。オンプレミス接続には Cloud VPN や Cloud Interconnect を使います。,【クラウド ソリューションのデプロイと実装】
139,オンプレミス ネットワークと VPC を IPsec VPN で接続する場合、Google Cloud 側で作成すべきリソースはどれですか？,Cloud VPN ゲートウェイ + VPN トンネル,Cloud CDN バックエンド サービス,Cloud Storage バケット,BigQuery データセット,A,サイト間 Cloud VPN では、HA VPN または Classic VPN ゲートウェイを作成し、オンプレミス VPN デバイスと VPN トンネルを確立します。Cloud Router と BGP を使うと、オンプレミス側のルートを動的に学習できます。,【クラウド ソリューションのデプロイと実装】
140,Google Cloud リソースをコード（HCL）で宣言的に管理し、複数環境で再利用可能な構成をデプロイしたい場合、試験ガイドで挙げられている Infrastructure as Code ツールはどれですか？,Terraform,Cloud CDN,Cloud DNS,Looker Studio,A,試験ガイドでは、Infrastructure as Code ツールとして Cloud Foundation Toolkit、Config Connector、Terraform、Helm などが挙げられています。Terraform は HCL で GCP リソースを宣言的に定義・デプロイする広く使われる IaC ツールです。Kubernetes マニフェスト管理には Helm、K8s リソースを GCP 上で K8s API 経由管理するには Config Connector があります。,【クラウド ソリューションのデプロイと実装】
141,Compute Engine VM 作成時に、起動時に 1 回だけ実行するスクリプトを指定する方法として正しいものはどれですか？,スタートアップ スクリプト（startup script）をメタデータまたはインスタンス テンプレートに設定する,Cloud DNS の SOA レコードを編集する,Cloud Billing の予算を設定する,BigQuery ビューを作成する,A,スタートアップ スクリプトは VM 起動時に実行されるスクリプトで、メタデータ `startup-script` として VM またはインスタンス テンプレートに設定します。パッケージ インストールやエージェント配置などの初期構成に使います。,【クラウド ソリューションのデプロイと実装】
142,外部 IP を持たない VM からインターネットへ下り（外向き）通信するために、VPC に構成すべきサービスはどれですか？,Cloud NAT,Cloud CDN,Cloud Armor,Cloud DNS プライベート ゾーン,A,Cloud NAT は、プライベート サブネット内の VM が外部 IP なしでインターネットへアクセスするための SNAT サービスです。限定公開 GKE ノードや内部 VM からのパッケージ更新、外部 API 呼び出しなどに使用します。,【クラウド ソリューションのデプロイと実装】
143,マネージド インスタンス グループ（MIG）で Spot VM を使用してコストを削減したい場合、インスタンス テンプレートで設定すべきプロビジョニング モデルはどれですか？,Spot（または Preemptible）,単一テナントノードのみ,Cloud Storage Archive,Cloud DNS のみ,A,インスタンス テンプレートのプロビジョニング モデルで Spot（旧 Preemptible）を選択すると、MIG 内の VM が Spot 料金で起動します。プリエンプトに備え、MIG の自動修復（autohealing）と組み合わせるのが一般的です。,【クラウド ソリューションのデプロイと実装】
144,Google Kubernetes Engine に Helm チャートを使ってアプリケーションをデプロイする主な利点は何ですか？,VM の OS パッチを自動適用する,Kubernetes リソース（Deployment、Service 等）をパッケージ化し、バージョン管理と再利用が容易になる,Cloud Storage のライフサイクルを設定する,請求先アカウントを自動作成する,B,Helm は Kubernetes 向けのパッケージ マネージャーです。チャートとしてマニフェスト群をテンプレート化し、`helm install` で GKE にデプロイできます。試験ガイドの IaC ツールの 1 つとして挙げられています。,【クラウド ソリューションのデプロイと実装】
145,GKE クラスタに Deployment と Service をデプロイした後、Pod の稼働状態を確認する `kubectl` コマンドとして正しいものはどれですか？,`kubectl get pods`,`gcloud compute instances list`,`bq ls`,`gsutil ls`,A,`kubectl get pods` でクラスタ内の Pod 一覧と状態（Running、Pending 等）を確認します。Deployment の状態は `kubectl get deployments`、Service は `kubectl get services` で確認します。,【クラウド ソリューションのデプロイと実装】
146,Cloud Functions（第 2 世代）を HTTP リクエストで直接呼び出せるようにデプロイする場合、指定すべきトリガー オプションはどれですか？,`--trigger-http`,`--trigger-topic=TOPIC_NAME`,`--trigger-bucket=BUCKET_NAME`,`--no-trigger`,A,HTTP トリガーは `--trigger-http`（または `--gen2` 環境での HTTP 関数設定）で有効化します。デプロイ後、関数 URL に HTTPS リクエストを送信して実行できます。Pub/Sub や Cloud Storage イベントには別トリガーを使います。,【クラウド ソリューションのデプロイと実装】
147,Firestore データベースを Native モードで新規作成する Cloud CLI コマンドとして正しいものはどれですか？,`gcloud firestore databases create --location=REGION --type=firestore-native`,`gcloud sql instances create --database-version=MYSQL`,`gcloud spanner instances create`,`gcloud bigquery mk --dataset`,A,Firestore Native モードのデータベースは `gcloud firestore databases create` で作成します。`--location` でリージョンまたはマルチリージョンを指定します。Datastore モードは別途 `--type=datastore-mode` です。,【クラウド ソリューションのデプロイと実装】
148,Spanner インスタンスとデータベースを作成した後、テーブル定義（DDL）を適用する方法として正しいものはどれですか？,Cloud Console の Spanner Studio または `gcloud spanner databases ddl update` で DDL を実行する,Cloud DNS レコードを追加する,Cloud NAT ルールを設定する,Cloud Armor ポリシーを適用する,A,Spanner のスキーマは DDL（CREATE TABLE 等）で定義します。Cloud Console の Spanner Studio、Cloud CLI（`gcloud spanner databases ddl update`）、またはクライアント ライブラリから適用できます。,【クラウド ソリューションのデプロイと実装】
149,Pub/Sub トピックを作成し、アプリケーションがメッセージを発行できるようにする Cloud CLI コマンドとして正しいものはどれですか？,`gcloud pubsub topics create TOPIC_NAME`,`gcloud compute networks create TOPIC_NAME`,`gcloud sql instances create TOPIC_NAME`,`gcloud dns managed-zones create TOPIC_NAME`,A,Pub/Sub トピックの作成は `gcloud pubsub topics create` です。サブスクリプションは `gcloud pubsub subscriptions create` で作成し、Cloud Functions や Dataflow ジョブと連携します。,【クラウド ソリューションのデプロイと実装】
150,Apache Beam パイプラインを Dataflow ジョブとして実行する際、パイプラインを起動する Cloud CLI コマンドの形式として正しいものはどれですか？,`gcloud dataflow jobs run JOB_NAME --gcs-location=gs://BUCKET/template`,`gcloud compute instances create JOB_NAME`,`gcloud run deploy JOB_NAME`,`gcloud sql import`,A,Dataflow ジョブは `gcloud dataflow jobs run` で起動します。Flex Template や Classic Template の GCS パスを指定し、パラメータで入出力（Pub/Sub、BigQuery、Cloud Storage 等）を設定します。,【クラウド ソリューションのデプロイと実装】
151,ローカル ファイルを Cloud Storage バケットにアップロードする、現在推奨される Cloud CLI コマンドはどれですか？,`gcloud storage cp LOCAL_FILE gs://BUCKET_NAME/OBJECT_NAME`,`kubectl cp LOCAL_FILE pod:/path`,`gcloud sql import`,`bq extract`,A,`gcloud storage cp` は Cloud Storage へのファイルのアップロードやダウンロードに使用します。`gsutil` も既存のスクリプトなどで利用されていますが、新規の Cloud Storage 操作には `gcloud storage` コマンドの使用が推奨されます。大量ファイルや定期転送には Storage Transfer Service、BigQuery ロード前のステージングにも Cloud Storage を利用できます。,【クラウド ソリューションのデプロイと実装】
152,共有 VPC 環境で、サービス プロジェクトの GKE クラスタがホスト プロジェクトのサブネットを使用するようにデプロイする場合、必要な前提設定はどれですか？,ホスト プロジェクトで共有 VPC を有効化し、サービス プロジェクトを共有 VPC サービス プロジェクトとして関連付ける,各プロジェクトに独立した Cloud CDN を設定する,Cloud Billing の予算を無効化する,BigQuery データセットを削除する,A,共有 VPC では、ホスト プロジェクトが VPC とサブネットを管理し、サービス プロジェクトのリソース（GKE、Compute Engine 等）がそれを利用します。GKE クラスタ作成時に共有サブネットを指定してデプロイします。,【クラウド ソリューションのデプロイと実装】
153,VPC ファイアウォール ルールで、特定のサービス アカウントを持つ VM のみにルールを適用する場合、ターゲットの指定方法はどれですか？,ターゲット サービス アカウント（target service accounts）に SA のメールアドレスを指定する,Cloud Storage バケット名を指定する,BigQuery テーブル名を指定する,Cloud DNS ゾーン ID を指定する,A,ファイアウォール ルールのターゲットは、ネットワーク タグまたはターゲット サービス アカウントで VM を絞り込めます。サービス アカウント ベースのターゲットは、タグ管理なしで IAM 連携のセキュリティ モデルに適しています。,【クラウド ソリューションのデプロイと実装】
154,カスタムモード VPC に新しいサブネットを追加する Cloud CLI コマンドとして正しいものはどれですか？,`gcloud compute networks subnets create SUBNET_NAME --network=VPC_NAME --region=REGION --range=CIDR`,`gcloud compute instances create SUBNET_NAME`,`gcloud container clusters create SUBNET_NAME`,`gcloud sql instances create SUBNET_NAME`,A,サブネット作成は `gcloud compute networks subnets create` です。`--network` で VPC、`--region` でリージョン、`--range` で IP CIDR ブロックを指定します。GKE や VM はこのサブネット上にデプロイします。,【クラウド ソリューションのデプロイと実装】
155,Kubernetes リソース（Deployment 等）を GCP リソース（Cloud SQL、Cloud Storage 等）と同様に Kubernetes API（YAML）で宣言的に管理したい場合、試験ガイドで挙げられている Google Cloud の IaC ツールはどれですか？,Config Connector,Cloud CDN,Cloud Domains,Media CDN,A,Config Connector は、GCP リソースを Kubernetes カスタム リソース（CRD）として定義・管理するツールです。K8s クラスタ上で `kubectl apply` により Cloud SQL インスタンス等をプロビジョニングできます。,【クラウド ソリューションのデプロイと実装】
156,AlloyDB for PostgreSQL インスタンスを新規作成する Cloud CLI コマンドとして正しいものはどれですか？,`gcloud alloydb clusters create CLUSTER_NAME --region=REGION`,`gcloud firestore databases create`,`gcloud bigtable instances create`,`gcloud dns record-sets create`,A,AlloyDB はクラスタ単位で管理され、`gcloud alloydb clusters create` でクラスタを作成します。続けてプライマリ インスタンスやユーザーを設定します。一般的な PostgreSQL 移行なら Cloud SQL も選択肢です。,【クラウド ソリューションのデプロイと実装】
157,GKE クラスタに Cloud Build でビルドしたコンテナ イメージをデプロイする典型的な CI/CD フローとして正しいものはどれですか？,ソース push → Cloud Build がイメージを Artifact Registry に push → GKE にデプロイ,ソース push → Cloud DNS がイメージを解決 → BigQuery にロード,ソース push → Cloud NAT が SNAT → Firestore に保存,ソース push → Cloud Armor が WAF → Cloud Storage Archive,A,典型的な GKE CI/CD は、Cloud Build が Dockerfile/cloudbuild.yaml に基づきイメージをビルドし Artifact Registry へ push、続けて `kubectl` や Cloud Deploy で GKE にロールアウトします。,【クラウド ソリューションのデプロイと実装】
158,外部から HTTPS でアクセス可能な Cloud Run サービスを、未認証リクエストも許可してデプロイする場合の `--allow-unauthenticated` フラグの意味として正しいものはどれですか？,すべてのユーザー（未認証含む）がサービス URL に HTTPS リクエストできる IAM 設定を付与する,VPC 内からのみアクセス可能にする,Cloud Armor を自動的に無効化する,サービスを内部 LB のみにバインドする,A,`--allow-unauthenticated` は、Cloud Run サービスに `roles/run.invoker` を `allUsers` に付与し、インターネットから認証なし HTTPS アクセスを許可します。内部向けサービスでは付与せず、IAM 認証または Identity-Aware Proxy を使います。,【クラウド ソリューションのデプロイと実装】
159,オンプレミスから Google Cloud への大量データ移行をスケジュール実行したい場合、使用すべきサービスはどれですか？,Storage Transfer Service,Cloud DNS,Cloud Scheduler のみ（転送機能なし）,Cloud Domains,A,Storage Transfer Service は、オンプレミス（エージェント経由）、他クラウド、Cloud Storage バケット間の大量データ転送をスケジュール実行できます。試験ガイドのデータ読み込み手段の 1 つとして挙げられています。,【クラウド ソリューションのデプロイと実装】
160,複数の Google Cloud リソース（VPC、サブネット、ファイアウォール、GKE 等）をベストプラクティスに沿ったモジュール構成で一括デプロイしたい場合、Google が提供する IaC テンプレート集はどれですか？,Cloud Foundation Toolkit（CFT）,Cloud CDN,Looker Studio,Cloud Vision API,A,Cloud Foundation Toolkit（CFT）は、Landing Zone やネットワーク、セキュリティなどを Terraform モジュールとして提供する Google の公式テンプレート集です。組織の標準構成を一括デプロイする際に使用します。Terraform、Config Connector、Helm も試験ガイドの IaC ツールです。,【クラウド ソリューションのデプロイと実装】
161,VM の再作成後も同じ外部 IPv4 アドレスを継続利用したい場合、事前に作成すべきものはどれですか？,エフェメラル外部 IP アドレス,静的外部 IP アドレス,Cloud NAT ゲートウェイ,Cloud DNS のプライベート ゾーン,B,静的外部 IP アドレスを予約して VM に割り当てると、VM を再作成しても同じ IP アドレスを利用できます。,【クラウド ソリューションのデプロイと実装】
162,Persistent Disk の定期バックアップを自動作成する機能はどれですか？,ディスク スナップショット スケジュール,Cloud CDN キャッシュ,Cloud NAT,Cloud DNS のゾーン転送,A,スナップショット スケジュールは Persistent Disk のスナップショットを指定頻度で自動作成し、復旧に利用できます。,【クラウド ソリューションのデプロイと実装】
163,同じ OS・ソフトウェア構成の VM を繰り返し作成するため、ブートディスクのひな形を再利用したい場合に適したものはどれですか？,カスタム イメージ,Cloud Storage バケット,Cloud SQL インスタンス,Cloud DNS マネージド ゾーン,A,カスタム イメージは構成済みブートディスクから作成する再利用可能なテンプレートです。,【クラウド ソリューションのデプロイと実装】
164,Cloud SQL for MySQL に Cloud Storage 上の SQL ダンプをインポートするコマンドはどれですか？,`gcloud sql import sql INSTANCE_NAME gs://BUCKET/dump.sql --database=DATABASE_NAME`,`gcloud compute instances import INSTANCE_NAME dump.sql`,`gcloud storage import sql gs://BUCKET/dump.sql`,`bq load --source_format=SQL dump.sql`,A,`gcloud sql import sql` で、Cloud Storage に置いた SQL ダンプを Cloud SQL にインポートできます。,【クラウド ソリューションのデプロイと実装】
165,Cloud SQL にプライベート IP を割り当て、VPC 内からプライベートに接続するための方式はどれですか？,プライベート サービス アクセス,Cloud CDN,Cloud NAT,外部 Application Load Balancer,A,Cloud SQL のプライベート IP 接続には、VPC と Google のサービス ネットワーク間でプライベート サービス アクセスを構成します。,【クラウド ソリューションのデプロイと実装】
166,Cloud Run の新リビジョンに本番トラフィックの 10% だけを送信して検証する機能はどれですか？,リビジョン間のトラフィック分割,Cloud Storage のライフサイクル管理,Cloud NAT の SNAT,Cloud DNS のゾーン転送,A,Cloud Run はリビジョンごとにトラフィック割合を指定でき、カナリア リリースを行えます。,【クラウド ソリューションのデプロイと実装】
167,Docker イメージ用の Artifact Registry リポジトリを作成するコマンドはどれですか？,`gcloud artifacts repositories create REPOSITORY_NAME --repository-format=docker --location=REGION`,`gcloud storage buckets create REPOSITORY_NAME --format=docker`,`gcloud run repositories create REPOSITORY_NAME --docker`,`kubectl create repository REPOSITORY_NAME`,A,`gcloud artifacts repositories create` に Docker 形式とロケーションを指定してリポジトリを作成します。,【クラウド ソリューションのデプロイと実装】
168,GKE や Cloud Run への段階的な昇格、承認、ロールアウトを管理する継続的デリバリー サービスはどれですか？,Google Cloud Deploy,Cloud Logging,Cloud DNS,Cloud Scheduler,A,Google Cloud Deploy はデリバリー パイプラインでターゲット環境への昇格とロールアウトを管理します。,【クラウド ソリューションのデプロイと実装】
169,GKE の Pod を外部公開し、外部ロードバランサを自動プロビジョニングする Service の `type` はどれですか？,`LoadBalancer`,`ClusterIP`,`ExternalName`,`ConfigMap`,A,`type: LoadBalancer` の Service を作成すると、外部から到達可能なロードバランサが作成されます。,【クラウド ソリューションのデプロイと実装】
170,GKE Deployment の CPU 使用率に応じて Pod 数を自動調整する Kubernetes リソースはどれですか？,Horizontal Pod Autoscaler（HPA）,ConfigMap,PersistentVolume,Cloud DNS ゾーン,A,HPA は CPU 使用率などを基に Deployment のレプリカ数を自動調整します。,【クラウド ソリューションのデプロイと実装】
171,GKE のコンテナ イメージから分離して、機密ではない環境変数や設定値を管理する Kubernetes リソースはどれですか？,ConfigMap,Secret,Deployment,Cloud KMS,A,ConfigMap は機密ではない構成値を保持し、Pod の環境変数やボリュームとして参照できます。,【クラウド ソリューションのデプロイと実装】
172,Cloud Run のデータベース パスワードをコンテナ イメージに埋め込まず、安全に管理するサービスはどれですか？,Secret Manager,Cloud Storage,Cloud DNS,Cloud CDN,A,Secret Manager に機密情報を保存し、Cloud Run のサービス アカウントに必要なアクセス権を付与して参照させます。,【クラウド ソリューションのデプロイと実装】
173,毎日午前 2 時に Pub/Sub トピックへメッセージを発行してバッチ処理を起動するサービスはどれですか？,Cloud Scheduler,Cloud Tasks,Eventarc,Cloud Build,A,Cloud Scheduler は cron 形式で HTTP エンドポイントや Pub/Sub トピックを定期的に呼び出せます。,【クラウド ソリューションのデプロイと実装】
174,HTTP 処理を非同期キューに登録し、配信レートと再試行を制御してワーカーに配信するサービスはどれですか？,Cloud Tasks,Pub/Sub,Cloud Logging,Cloud CDN,A,Cloud Tasks は HTTP ターゲットへタスクを非同期配信し、レート、スケジュール、リトライを制御できます。,【クラウド ソリューションのデプロイと実装】
175,外部 Application Load Balancer の IPv4 アドレスに独自ドメインを向ける Cloud DNS レコードはどれですか？,A レコード,MX レコード,PTR レコード,SOA レコード,A,A レコードはドメイン名を IPv4 アドレスに対応付けます。IPv6 を使用する場合は AAAA レコードを使用します。,【クラウド ソリューションのデプロイと実装】
176,高可用性の Cloud VPN 構成として推奨されるものはどれですか？,HA VPN ゲートウェイで 2 本の VPN トンネルを構成する,Classic VPN のトンネルを 1 本だけ構成する,Cloud NAT を 2 台構成する,Cloud CDN のバックエンドを 2 つ作成する,A,HA VPN は通常 Cloud Router と BGP を組み合わせ、2 本の VPN トンネルで冗長性を確保します。,【クラウド ソリューションのデプロイと実装】
177,VPC ファイアウォール ルールで一致する許可・拒否ルールの優先順を主に決める項目はどれですか？,優先度（数値が小さいほど優先）,ルール名のアルファベット順,作成日時,請求先アカウントの種類,A,ファイアウォール ルールは優先度の数値が小さい順に評価されます。同じ優先度で許可と拒否が一致する場合は拒否が優先されます。,【クラウド ソリューションのデプロイと実装】
178,Terraform で実リソースを変更せず、追加・変更・削除の予定を確認するコマンドはどれですか？,`terraform plan`,`terraform apply`,`terraform destroy`,`gcloud projects delete`,A,`terraform plan` は現在の状態と構成ファイルの差分から実行計画を表示します。,【クラウド ソリューションのデプロイと実装】
179,Cloud Build のビルド手順をリポジトリに定義する一般的なファイル名はどれですか？,`cloudbuild.yaml`,`Dockerfile.lock`,`terraform.state`,`index.sql`,A,`cloudbuild.yaml` にはビルドステップ、使用するビルダー、イメージの出力先などを定義できます。,【クラウド ソリューションのデプロイと実装】
180,Cloud Run の新リビジョンに問題が発生したため、直前の安定リビジョンへ即座に戻す最も適切な操作はどれですか？,安定リビジョンへのトラフィックを 100% に戻す,Cloud Storage バケットを削除する,Cloud DNS ゾーンを削除する,請求先アカウントを解除する,A,Cloud Run は過去のリビジョンを保持しており、トラフィック割り当ての変更で速やかにロールバックできます。,【クラウド ソリューションのデプロイと実装】
181,Compute Engine VM の CPU 使用率、ディスク使用量、ネットワーク通信量などの時系列メトリクスを確認する主なサービスはどれですか？,Cloud Monitoring,Cloud Logging,Cloud DNS,Cloud Storage,A,Cloud Monitoring は Google Cloud リソースやアプリケーションのメトリクスを収集・可視化します。ダッシュボード、アラート、SLO の管理にも使用できます。,【クラウド ソリューションの正常な運用の実現】
182,特定のエラーメッセージを含む Cloud Logging のログエントリを検出し、通知を送るために作成するものはどれですか？,ログベースのアラート ポリシー,Cloud Storage ライフサイクル ルール,Cloud NAT ゲートウェイ,VPC ピアリング,A,ログベースのアラート ポリシーでは、ログクエリやログベースの指標を条件にして通知できます。CPU 使用率などのメトリクス条件には通常の Monitoring アラート ポリシーを使用します。,【クラウド ソリューションの正常な運用の実現】
183,"Cloud Logging のログエントリを、`resource.type=""gce_instance""` と重大度 `ERROR` で絞り込む際に使用する画面はどれですか？",Logs Explorer,Cloud Shell,Cloud Billing レポート,Cloud DNS ゾーン,A,Logs Explorer はログクエリを用いてログエントリを検索・分析する Cloud Logging の画面です。リソースタイプ、ログ名、重大度、本文などで絞り込めます。,【クラウド ソリューションの正常な運用の実現】
184,Monitoring ダッシュボード上で、複数の VM の CPU 使用率を折れ線グラフとして可視化するために追加するものはどれですか？,グラフ ウィジェット,ログシンク,Cloud Storage バケット,Cloud VPN トンネル,A,Cloud Monitoring のダッシュボードには、メトリクスを表示するグラフ、スコアカード、テキストなどのウィジェットを追加できます。,【クラウド ソリューションの正常な運用の実現】
185,アラート発生時の通知先をメール、Pub/Sub、PagerDuty などで定義するものはどれですか？,通知チャネル,ログバケット,インスタンス テンプレート,Cloud Router,A,通知チャネルを作成してアラート ポリシーに関連付けると、条件が満たされたときに指定先へ通知できます。,【クラウド ソリューションの正常な運用の実現】
186,SLI、SLO、エラーバジェットを用いてサービスの信頼性目標を運用したい場合、主に使用するサービスはどれですか？,Cloud Monitoring,Cloud CDN,Cloud NAT,Cloud Build,A,Cloud Monitoring のサービス監視では、SLI と SLO を定義し、エラーバジェットの消費状況を確認できます。,【クラウド ソリューションの正常な運用の実現】
187,Cloud Logging でログを 30 日より長く保持したいが、ログ分析は引き続き Cloud Logging で行いたい場合、適切な方法はどれですか？,ユーザー定義ログバケットを作成し、保持期間を設定する,`_Required` バケットの保持期間を変更する,Cloud NAT を構成する,VM の外部 IP を追加する,A,ユーザー定義ログバケットでは、ログの保持期間や保存場所を要件に合わせて設定できます。`_Required` バケットの保持期間は変更できません。,【クラウド ソリューションの正常な運用の実現】
188,Compute Engine のマネージド インスタンス グループで、異常な VM を自動的に削除・再作成させるために設定するものはどれですか？,ヘルスチェックと自動修復,Cloud DNS の MX レコード,Cloud Storage の保持ポリシー,Cloud Billing の予算,A,MIG はヘルスチェックの結果に基づき、異常と判断した VM を自動修復できます。ロードバランサ用とは別のヘルスチェックを設計することもできます。,【クラウド ソリューションの正常な運用の実現】
189,MIG のローリング更新で、新しいインスタンス テンプレートへの置き換えを段階的に進め、可用性を維持したい場合に使う更新方式はどれですか？,プロアクティブ更新,手動で全 VM を同時削除する,Cloud Storage のオブジェクト バージョニング,Cloud NAT,A,プロアクティブ更新では、MIG が更新ポリシーに従って VM を段階的に置き換えます。最大同時停止数などを設定して可用性への影響を抑えます。,【クラウド ソリューションの正常な運用の実現】
190,GKE クラスタを新しい Kubernetes バージョンへ更新する前に、アプリケーションとの互換性を確認するために先に更新する対象として適切なものはどれですか？,開発・検証環境のクラスタまたはノードプール,本番クラスタのすべてのノード,Cloud DNS のルートゾーン,請求先アカウント,A,GKE の更新は、開発・検証環境で互換性を確認してから本番へ段階的に適用することが推奨されます。本番ではメンテナンス ウィンドウも考慮します。,【クラウド ソリューションの正常な運用の実現】
